date_mutation,valeur_fonciere,code_commune,nom_commune,surface_reelle_bati,nombre_pieces_principales,type_local,prix_m2,prix_m2_median_commune,prix_m2_moyen_commune,evolution_2022_2024_%
2022-12-27,500000.0,69034,Caluire-et-Cuire,118.0,4.0,Appartement,4237.28813559322,4327.669902912621,4743.435694192147,-8.248797845384424
2022-12-27,174050.0,69099,Haute-Rivoire,110.0,4.0,Maison,1582.2727272727273,1872.5,2292.578422710646,14.102310231023116
2022-12-27,253900.0,69389,Lyon 9e Arrondissement,58.0,4.0,Appartement,4377.586206896552,4189.816816816817,4239.884817563502,-8.92518467397693
2022-12-30,300000.0,69092,Gleizé,86.0,4.0,Appartement,3488.3720930232557,3267.3267326732675,3476.678126295699,-18.6046511627907
2022-12-29,407000.0,69286,Rillieux-la-Pape,121.0,5.0,Appartement,3363.6363636363635,3801.4084507042253,3878.150301321122,-17.852896211992523
2022-12-26,760000.0,69087,Fontaines-Saint-Martin,156.0,5.0,Maison,4871.794871794872,4663.244047619048,4920.537530329489,-23.58927648578811
2022-12-23,492750.0,69046,Charly,185.0,5.0,Maison,2663.5135135135133,4676.27108433735,4594.859430132654,-9.602187851659414
2022-12-23,602250.0,69046,Charly,240.0,11.0,Maison,2509.375,4676.27108433735,4594.859430132654,-9.602187851659414
2022-12-29,178000.0,69264,Villefranche-sur-Saône,109.0,6.0,Maison,1633.0275229357799,2697.967479674797,3188.5816986581885,-4.448551646177757
2022-12-21,452800.0,69202,Sainte-Foy-lès-Lyon,102.0,4.0,Appartement,4439.21568627451,4237.28813559322,4778.0678188614675,-14.872950988893018
2022-12-08,555000.0,69244,Tassin-la-Demi-Lune,106.0,5.0,Maison,5235.8490566037735,4697.213662044171,5134.910836794632,-16.144505565614185
2022-12-28,227705.0,69096,Grigny,80.0,4.0,Appartement,2846.3125,2848.15625,2908.680929605886,-12.030075187969928
2022-12-20,279000.0,69122,Lucenay,113.0,5.0,Maison,2469.026548672566,4085.867802108678,4241.5507990521955,16.359412104623374
2022-12-28,340000.0,69208,Saint-Germain-Nuelles,148.0,5.0,Maison,2297.2972972972975,3503.6496350364964,3777.324282003986,9.426325973567678
2022-12-30,450000.0,69292,Sathonay-Camp,100.0,5.0,Appartement,4500.0,4237.443310657596,4454.274247327837,-18.806249906020142
2022-12-28,160000.0,69174,Les Sauvages,98.0,5.0,Maison,1632.6530612244899,2000.0,2244.1798797413235,-1.7200785144839117
2022-12-27,800000.0,69382,Lyon 2e Arrondissement,153.0,6.0,Appartement,5228.75816993464,5824.253731343284,6026.202426689113,-12.844490198533132
2022-12-28,492000.0,69389,Lyon 9e Arrondissement,107.0,6.0,Appartement,4598.130841121495,4189.816816816817,4239.884817563502,-8.92518467397693
2022-12-23,262800.0,69236,Saint-Romain-en-Gier,90.0,5.0,Maison,2920.0,2539.583333333333,2486.06445608326,-17.80821917808219
2022-12-01,578000.0,69063,Collonges-au-Mont-d'Or,125.0,6.0,Maison,4624.0,5189.903846153846,5592.537929948344,1.3220662396074825
2022-10-13,450000.0,69136,Montagny,150.0,4.0,Maison,3000.0,4170.94726062468,4315.567095965353,-7.581029115546603
2022-01-03,430000.0,69256,Vaulx-en-Velin,132.0,7.0,Maison,3257.5757575757575,3084.6666666666665,3162.1324247818484,-10.25922697599465
2022-01-07,117000.0,69256,Vaulx-en-Velin,70.0,4.0,Appartement,1671.4285714285713,3084.6666666666665,3162.1324247818484,-10.25922697599465
2022-01-04,351850.0,69282,Meyzieu,91.0,4.0,Maison,3866.4835164835163,3846.153846153846,4030.6003906650662,-11.23603816850359
2022-01-05,485000.0,69383,Lyon 3e Arrondissement,121.0,6.0,Appartement,4008.2644628099174,4948.142857142857,5144.689758985936,-11.994113318616634
2022-01-10,690000.0,69388,Lyon 8e Arrondissement,170.0,6.0,Maison,4058.823529411765,4517.295285359802,4795.721262502378,-9.920941057490353
2022-01-06,225000.0,69266,Villeurbanne,74.0,4.0,Appartement,3040.5405405405404,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-10,334200.0,69273,Corbas,81.0,4.0,Appartement,4125.925925925926,3750.0,3718.137846037353,-17.58933651720503
2022-01-06,436600.0,69386,Lyon 6e Arrondissement,78.0,4.0,Appartement,5597.4358974358975,5923.362831858407,6032.092875201931,-16.00989644496637
2022-01-04,342715.0,69387,Lyon 7e Arrondissement,78.0,4.0,Appartement,4393.782051282052,4815.591133004926,4938.686737254932,-9.991243648971919
2022-01-05,275000.0,69266,Villeurbanne,78.0,4.0,Appartement,3525.641025641026,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-10,226000.0,69259,Vénissieux,77.0,4.0,Appartement,2935.064935064935,3257.7419354838707,3911.832884700302,-17.069532530120483
2022-01-11,348000.0,69273,Corbas,82.0,4.0,Maison,4243.90243902439,3750.0,3718.137846037353,-17.58933651720503
2022-01-07,170000.0,69290,Saint-Priest,90.0,5.0,Appartement,1888.888888888889,3283.3333333333335,3321.493702410391,-11.804870761119538
2022-01-08,540000.0,69282,Meyzieu,147.0,7.0,Maison,3673.469387755102,3846.153846153846,4030.6003906650662,-11.23603816850359
2022-01-03,253000.0,69259,Vénissieux,82.0,4.0,Appartement,3085.3658536585367,3257.7419354838707,3911.832884700302,-17.069532530120483
2022-01-06,693350.0,69386,Lyon 6e Arrondissement,109.0,4.0,Appartement,6361.0091743119265,5923.362831858407,6032.092875201931,-16.00989644496637
2022-01-13,151023.0,69266,Villeurbanne,70.0,4.0,Appartement,2157.4714285714285,3915.7894736842104,4177.16437217181,-12.491870902539292
2022-01-11,620000.0,69386,Lyon 6e Arrondissement,110.0,5.0,Appartement,5636.363636363636,5923.362831858407,6032.092875201931,-16.00989644496637
