adresse,commune,surface_m2,aire_jeu,eau,toilettes,code_insee,longitude,latitude
1093 25 Montée Sébastien,Lyon 1er Arrondissement,5454.61,False,False,False,69381,4.8360472026536465,45.77254491016947
1212 10 Rue Calliet,Lyon 1er Arrondissement,1745.13,True,False,False,69381,4.832729153544911,45.772904673112976
9305 Rue Cottin,Lyon 9e Arrondissement,2154.29,True,True,False,69389,4.806288318088047,45.77162641303767
3040 7 rue Jules Verne,Lyon 3e Arrondissement,16755.4,True,True,False,69383,4.878741382327294,45.74987944367931
3142 Rue Saint Maximin,Lyon 3e Arrondissement,968.83,True,True,False,69383,4.8715504058117105,45.74746151992415
51059 Place Chazette,Lyon 1er Arrondissement,7358.36,True,True,False,69381,4.837380688599782,45.77297132691747
56100 Rue tête d'or,Lyon 6e Arrondissement,2221.55,True,True,False,69386,4.85270481375229,45.7681125873437
57171 Rue Raoul Servant,Lyon 7e Arrondissement,680.89,False,False,False,69387,4.836726115187978,45.74581396175663
57230 Berges Karen Blixen,Lyon 7e Arrondissement,,False,False,False,69387,4.839361927722989,45.756491475593684
56017 Boulevard des Brotteaux,Lyon 6e Arrondissement,,False,False,False,69386,4.857257538123019,45.7641006669005
57116 Rue du repos,Lyon 7e Arrondissement,1036.2,False,False,False,69387,4.852469001235722,45.74338697796039
9014 Rue Marcel Cerdan,Lyon 9e Arrondissement,2087.63,True,True,False,69389,4.795076276111529,45.787162827111835
7017 Rue de gerland,Lyon 7e Arrondissement,2543.06,False,True,False,69387,4.836573811175479,45.72642327316783
7189 140 rue Sebastien Gryphe,Lyon 7e Arrondissement,1720.63,True,True,False,69387,4.8381732126184955,45.747472545956775
8284 angle Bd Eats Unis-Viviani,Lyon 8e Arrondissement,1287.26,False,False,False,69388,4.870498548986149,45.725156239897295
58012 Bd Jean XXIII,Lyon 8e Arrondissement,789.32,False,False,False,69388,4.877538096849758,45.742463602435805
7148 9 rue Cdt Ayasse,Lyon 7e Arrondissement,635.1,True,True,False,69387,4.825984120691213,45.736763429467025
7261 allée d'Italie,Lyon 7e Arrondissement,2856.35,False,False,False,69387,4.828144210392202,45.73030725895123
8042 30 rue du professeur Morat,Lyon 8e Arrondissement,5190.58,True,True,False,69388,4.878885918869874,45.73448837740603
8254 123 rue Marius Berliet,Lyon 8e Arrondissement,1501.01,True,False,False,69388,4.867121637233703,45.738803833250245
1089 33 montée de la Grande Côte,Lyon 1er Arrondissement,9156.82,True,True,False,69381,4.831699311484958,45.77135783284519
8032 25 Avenue des Frères Lumière,Lyon 8e Arrondissement,7474.16,True,True,True,69388,4.8645789156276615,45.74648275015066
8091 Rue Longefer,Lyon 8e Arrondissement,3224.09,True,True,False,69388,4.882084498829547,45.74000516789666
4208 3 rue d'Ivry,Lyon 4e Arrondissement,273.17,False,True,False,69384,4.832748554643273,45.77723722780689
8262 rue Paul Cazeneuve,Lyon 8e Arrondissement,346.87,True,False,False,69388,4.862612465368183,45.73356183981873
5160 4 rue Cardinal Gerlier,Lyon 5e Arrondissement,5113.09,False,False,True,69385,4.8149760788437606,45.758484049771866
