code_commune,nb_ventes,prix_median,prix_moyen,surface_moyenne,pieces_moyennes
69276,450,239398.0,1284976.0,152.0,1.0
69277,572,364000.0,694747.0,91.0,1.0
69278,331,342750.0,1034213.0,90.0,1.0
69279,228,377901.0,2051874.0,89.0,1.0
69280,50,362202.0,338767.0,95.0,2.0
69281,53,280500.0,302122.0,83.0,2.0
69282,987,256000.0,530383.0,122.0,1.0
69283,302,355000.0,1304687.0,83.0,1.0
69284,116,350000.0,425559.0,80.0,1.0
69285,126,302000.0,331427.0,96.0,1.0
69286,868,249000.0,477633.0,77.0,1.0
69287,255,387130.0,909615.0,95.0,1.0
69288,191,330000.0,499350.0,83.0,1.0
69289,142,315000.0,358072.0,122.0,1.0
69290,1639,238050.0,703490.0,197.0,1.0
69291,151,258900.0,312383.0,81.0,2.0
69292,224,306540.0,1162402.0,69.0,1.0
69293,89,487200.0,509485.0,87.0,2.0
69294,110,240000.0,282759.0,80.0,1.0
69295,85,229500.0,277712.0,75.0,1.0
69296,107,375000.0,317546.0,83.0,2.0
69297,259,450000.0,851675.0,74.0,1.0
69298,103,274000.0,317574.0,75.0,2.0
69299,124,239398.0,259580.0,142.0,1.0
69381,801,274000.0,378801.0,67.0,1.0
69382,1098,350000.0,2292204.0,96.0,1.0
69383,3766,281950.0,800613.0,72.0,1.0
69384,1194,316500.0,389339.0,70.0,1.0
69385,1616,248725.0,319753.0,74.0,1.0
69386,1762,370000.0,1471541.0,86.0,1.0
69387,3289,255000.0,671471.0,70.0,1.0
69388,2549,236000.0,1114146.0,66.0,1.0
69389,1534,219000.0,798732.0,95.0,1.0
