nom,nature,adresse,code_postal,commune,the_geom
Section d'enseignement professionnel du Lycée polyvalent René Cassin,SECTION D ENSEIGNEMENT PROFESSIONNEL,75 route DE SAINT CLEMENT BP 137 69173 TARARE CEDEX,69173,Tarare,POINT (4.444735523834281 45.896641185418495)
Lycée professionnel Émile Béjuit,LYCEE PROFESSIONNEL,282 route de Genas ,69500,Bron,POINT (4.905798563027195 45.751362181911325)
Lycée agro-viticole Bel Air,LYCEE PROFESSIONNEL,394 route Henry Fessy ,69220,Belleville-en-Beaujolais,POINT (4.70522260519587 46.11628415804506)
Lycée Charles de Foucauld,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,6 rue Bara ,69003,Lyon 3e Arrondissement,POINT (4.872081158529929 45.751009093683976)
Lycée Notre-Dame des Minimes,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,65 rue des Aqueducs ,69005,Lyon 5e Arrondissement,POINT (4.789340438644234 45.759516586849564)
Lycée Sainte-Marie,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,4 montée Saint-Barthélemy ,69321,Lyon 5e Arrondissement,POINT (4.8266696521466566 45.76558270226975)
Lycée Sainte-Marie (annexe du lycée de Lyon),LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1 rue Caroline Aigle ,69330,Lyon 5e Arrondissement,POINT (4.8266696521466566 45.76558270226975)
Lycée Aux Lazaristes - La Salle site Fourvière,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,24 montée Saint-Barthélemy ,69321,Lyon 5e Arrondissement,POINT (4.826210245519437 45.76387064791032)
Lycée Déborde,LYCEE D ENSEIGNEMENT GENERAL,72 rue Ney ,69006,Lyon 6e Arrondissement,POINT (4.85566649806389 45.76665507511264)
Lycée Belmont,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,43 rue Pasteur ,69007,Lyon 7e Arrondissement,POINT (4.8397495460974636 45.75268421037933)
Lycée Pierre Termier,LYCEE D ENSEIGNEMENT GENERAL,23 rue des Alouettes ,69008,Lyon 8e Arrondissement,POINT (4.87301812515899 45.74148801337144)
Lycée Assomption Bellevue,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,39 quai Jean-Jacques Rousseau ,69350,La Mulatière,POINT (4.812793124530459 45.73332460098048)
Lycée Notre-Dame de Bellegarde,LYCEE D ENSEIGNEMENT GENERAL,22 avenue Gambetta BP 47 ,69250,Neuville-sur-Saône,POINT (4.841877076437331 45.87049721363621)
Lycée des Chassagnes,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,13 chemin des Chassagnes ,69600,Oullins-Pierre-Bénite,POINT (4.809773718120045 45.72273466788777)
Annexe du lycée Saint-Thomas d'Aquin Veritas,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,6 chemin du Laud ,69440,Oullins-Pierre-Bénite,POINT (4.809567410466668 45.71061425265925)
Lycée Saint-Thomas d'Aquin Veritas,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,56 rue du Perron ,69600,Oullins-Pierre-Bénite,POINT (4.809567410466668 45.71061425265925)
Lycée Saint-Joseph,LYCEE D ENSEIGNEMENT GENERAL,7 rue du Lieutenant Audras ,69160,Tassin-la-Demi-Lune,POINT (4.757983594801419 45.760208734973375)
Lycée Notre-Dame de Mongré,LYCEE D ENSEIGNEMENT GENERAL,276 avenue Saint-Exupéry ,69400,Villefranche-sur-Saône,POINT (4.711890398645356 45.99101409091182)
Lycée Immaculée Conception,LYCEE D ENSEIGNEMENT GENERAL,74 place Jules Grandclément BP 41023 ,69613,Villeurbanne,POINT (4.889951528427869 45.759213160577325)
Ecole générale privée Cours Pascal,LYCEE D ENSEIGNEMENT GENERAL,21 rue LONGUE 69001 LYON,69001,Lyon 1er Arrondissement,POINT (4.833726514426973 45.76540065068005)
Lycée les Chartreux,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,58 rue Pierre Dupont ,69001,Lyon 1er Arrondissement,POINT (4.822450416572123 45.77180923070537)
Lycée Saint-Marc,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,10 rue Sainte-Hélène ,69287,Lyon 2e Arrondissement,POINT (4.828890405287208 45.75506762421696)
Lycée Chevreul Lestonnac,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,2 boulevard des Tchécoslovaques ,69007,Lyon 7e Arrondissement,POINT (4.858122687483846 45.74918266455861)
Lycée Assomption Bellevue - Pôle enseignement supérieur,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,172 avenue Jean Jaurès ,69007,La Mulatière,POINT (4.812793124530459 45.73332460098048)
Lycée La Favorite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,62 rue de la Favorite ,69322,Lyon 5e Arrondissement,POINT (4.8059432426854585 45.75645342316099)
Lycée de la Trinité,LYCEE D ENSEIGNEMENT GENERAL,31 rue de Sèze ,69006,Lyon 6e Arrondissement,POINT (4.846630066427805 45.768222924414914)
Lycée Saint-Louis - Saint-Bruno,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,16 rue des Chartreux ,69283,Lyon 1er Arrondissement,POINT (4.823230134737717 45.771956961970886)
Lycée Chevreul Lestonnac - Site St Didier,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1 route de Champagne ,69370,Lyon 7e Arrondissement,POINT (4.858122687483846 45.74918266455861)
Section d'enseignement professionnel du Lycée polyvalent Louis Armand,SECTION D ENSEIGNEMENT PROFESSIONNEL,507 avenue DU BEAUJOLAIS 69651 VILLEFRANCHE SUR SAONE CEDEX,69651,Villefranche-sur-Saône,POINT (4.705470448908744 45.99934335903276)
Lycée Notre-Dame,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,72 rue des Jardiniers BP 213 ,69657,Villefranche-sur-Saône,POINT (4.72068099561914 45.988526443466725)
Lycée ICOF,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,8 avenue Debrousse ,69005,Lyon 5e Arrondissement,POINT (4.813896830276697 45.75073498110866)
Lycée La Mache,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,75 boulevard Jean XXIII ,69373,Lyon 8e Arrondissement,POINT (4.870617453961706 45.73714846838786)
Lycée professionnel Saint-Marc,LYCEE PROFESSIONNEL,4 rue Sainte-Hélène ,69287,Lyon 2e Arrondissement,POINT (4.828229766470231 45.7553233339019)
Lycée ORT,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,133 rue Marius Berliet ,69373,Lyon 8e Arrondissement,POINT (4.867663604414776 45.73812520090057)
Lycée technologique privé Carrel,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,119 rue Boileau ,69006,Lyon 6e Arrondissement,POINT (4.849633864919563 45.766219115761935)
Lycée professionnel Saint-Joseph,LYCEE PROFESSIONNEL,327 rue Garibaldi ,69363,Lyon 7e Arrondissement,POINT (4.852204163103425 45.747795618359525)
Lycée professionnel privé Ateliers d'Apprentissage de l'Industrie,LYCEE PROFESSIONNEL,148 AVENUE FRANKLIN ROOSEVELT 69120 VAULX EN VELIN,69120,Vaulx-en-Velin,POINT (4.9352345611918125 45.75494671959502)
Lycée professionnel Orsel,LYCEE PROFESSIONNEL,30 rue Orsel ,69600,Oullins-Pierre-Bénite,POINT (4.812452703964487 45.71646672088146)
Lycée professionnel Japy,LYCEE PROFESSIONNEL,1 place Louis Pradel BP 1152 ,69203,Lyon 1er Arrondissement,POINT (4.837567405242126 45.768049352422224)
Lycée Aux Lazaristes - La Salle site Croix-Rousse,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,1 rue Neyret ,69283,Lyon 1er Arrondissement,POINT (4.830230362921921 45.77167247356671)
Lycée professionnel la Favorite,LYCEE PROFESSIONNEL,107 rue Commandant Charcot ,69110,Sainte-Foy-lès-Lyon,POINT (4.788070124934175 45.74630606948599)
Lycée professionnel de la SEPR,LYCEE PROFESSIONNEL,46 rue du professeur Rochaix ,69003,Lyon 3e Arrondissement,POINT (4.877238742993634 45.745688241069445)
Lycée professionnel privé Saint-Louis - Saint-Bruno,LYCEE PROFESSIONNEL,17 rue des Chartreux ,69201,Lyon 1er Arrondissement,POINT (4.823182420663778 45.772071224952)
Centre d'enseignement professionnel et d'accueil des jeunes,LYCEE PROFESSIONNEL,CHEMIN DE BERNICOT BP 70 69564 ST GENIS LAVAL CEDEX,69564,Saint-Genis-Laval,POINT (4.773520760382818 45.69385219994558)
Lycée polyvalent Arnaud Beltrame,LYCEE POLYVALENT,10E rue Jean Jaurès ,69330,Meyzieu,POINT (5.013142617950973 45.77013296071417)
Ecole secondaire privée IPESS,LYCEE D ENSEIGNEMENT GENERAL,181 avenue Jean Jaurès 69007 LYON,69007,Lyon 7e Arrondissement,POINT (4.836840805564323 45.7364373923854)
Lycée général privé Acadomia Campus,LYCEE D ENSEIGNEMENT GENERAL,2 rue DU VERCORS 69007 LYON,69007,Lyon 7e Arrondissement,POINT (4.826225375510137 45.72519491764442)
Section d'enseignement professionnel du Lycée polyvalent privé Jehanne de France,SECTION D ENSEIGNEMENT PROFESSIONNEL,6  RUE DE LA FRATERNELLE 69009 LYON,69009,Lyon 9e Arrondissement,POINT (4.803600472461575 45.76931901782648)
Lycée professionnel Georges Lamarque,LYCEE PROFESSIONNEL,10 route de Genève BP 27 ,69144,Rillieux-la-Pape,POINT (4.882526344086443 45.8037846212662)
Lycée Champagnat,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,250 rue Chanoine Pavailler BP 40 ,69590,Saint-Symphorien-sur-Coise,POINT (4.452242578557498 45.62909091824532)
Lycée polyvalent Louis Armand,LYCEE POLYVALENT,"507 avenue du Beaujolais Gleizé, CS 60402 ",69651,Villefranche-sur-Saône,POINT (4.705849561137372 45.99919083640924)
Lycée Don Bosco,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,12 montée Saint-Laurent ,69322,Lyon 5e Arrondissement,POINT (4.819326031127019 45.751858101062915)
Lycée professionnel Saint-Charles,LYCEE PROFESSIONNEL,2831 route de Strasbourg ,69140,Rillieux-la-Pape,POINT (4.895287160774396 45.82026918705394)
Lycée professionnel de coiffure de Lyon,LYCEE PROFESSIONNEL,28-30 rue Valentin Couturier ,69004,Lyon 4e Arrondissement,POINT (4.827034399124273 45.77638015228251)
Lycée professionnel de coiffure,LYCEE PROFESSIONNEL,22 rue d'Algérie ,69001,Lyon 1er Arrondissement,POINT (4.832548510725717 45.767560832888755)
Peyrefitte esthétique,LYCEE PROFESSIONNEL,21-24 quai Tilsitt ,69002,Lyon 2e Arrondissement,POINT (4.826392332198185 45.75590795368299)
Lycée Élie Vignal,COLLEGE SPECIALISE,18 rue de Margnolles ,69300,Caluire-et-Cuire,POINT (4.83536240798309 45.784119189374536)
Section d'enseignement professionnel du Lycée polyvalent  Colonel Arnaud Beltrame,SECTION D ENSEIGNEMENT PROFESSIONNEL,10 E rue Jean Jaurès 69330 MEYZIEU,69330,Meyzieu,POINT (5.013142617950973 45.77013296071417)
Lycée professionnel Marc Seguin,LYCEE PROFESSIONNEL,20 boulevard Marcel Sembat ,69694,Vénissieux,POINT (4.882702509812829 45.71648783527622)
Section d'enseignement professionnel du Lycée polyvalent François Rabelais,SECTION D ENSEIGNEMENT PROFESSIONNEL,Chemin DU DODIN BP 24 69571 DARDILLY CEDEX,69571,Dardilly,POINT (4.761710242327352 45.81817277980965)
Lycée polyvalent Camus-Sermenaz,LYCEE POLYVALENT,2179 avenue de l'Europe ,69140,Rillieux-la-Pape,POINT (4.909636247775357 45.819904915077316)
