FID,id,nom,desserte,pmr,ascenseur,escalator,gid,last_update,last_update_fme,the_geom,adresse,localise_face_a_adresse,commune,insee,zone
tcl_sytral.tclarret.2793,2793,Saint-Genis Barolles,"C10:A,C10:R",true,false,false,26102,2025-10-17T05:05:48.137,2025-10-17T05:05:48.137,POINT (4.781899154168 45.679203416914),15 AVENUE CHANOINE CARTELIER,,Saint-Genis-Laval,69204,1
tcl_sytral.tclarret.2794,2794,St Genis Bellevue,88:R,true,false,false,26103,2025-10-17T05:05:48.137,2025-10-17T05:05:48.137,POINT (4.802381357579999 45.69300345812966),52 RUE DES COLLONGES,,Saint-Genis-Laval,69204,1
tcl_sytral.tclarret.2795,2795,St Genis Bellevue,88:A,true,false,false,26104,2025-10-17T05:05:48.137,2025-10-17T05:05:48.137,POINT (4.8028840326980005 45.69292804719766),63 RUE DES COLLONGES,,Saint-Genis-Laval,69204,1
tcl_sytral.tclarret.41115,41115,Villeneuve,S15:R,true,false,false,27299,2025-10-17T05:05:48.232,2025-10-17T05:05:48.232,POINT (4.782999040764 45.78592802052485),11 ROUTE DE CHAMPAGNE,,Écully,69081,1
tcl_sytral.tclarret.41154,41154,Marius Berliet,"C25:R,PL1:A",true,false,false,27300,2025-10-17T05:05:48.232,2025-10-17T05:05:48.232,POINT (4.859747871131 45.74189156134967),0 RUE DE L EPARGNE,,Lyon 8e Arrondissement,69388,1
tcl_sytral.tclarret.47385,47385,Challemel Lacour Artill.,"34:A,64:A,PL3:A",true,false,false,28399,2025-10-17T05:05:48.317,2025-10-17T05:05:48.317,POINT (4.843553032344 45.72954108091496),112 RUE CHALLEMEL LACOUR,,Lyon 7e Arrondissement,69387,1
tcl_sytral.tclarret.47386,47386,Vaulx Pasteur,"37:A,57:A",false,false,false,28400,2025-10-17T05:05:48.317,2025-10-17T05:05:48.317,POINT (4.930275989756999 45.7854610821389),118 RUE DE LA REPUBLIQUE,,Vaulx-en-Velin,69256,1
tcl_sytral.tclarret.47387,47387,Général Benoist,"52:R,52E:R",true,false,false,28401,2025-10-17T05:05:48.317,2025-10-17T05:05:48.317,POINT (4.928873965653 45.73826099859705),12 RUE DU 35EME REGIMENT D AVIATION,,Bron,69029,1
tcl_sytral.tclarret.47389,47389,Meyzieu Hôtel de Ville,"67:A,JD122:R,JD135:A",true,false,false,28402,2025-10-17T05:05:48.317,2025-10-17T05:05:48.317,POINT (5.005830035593 45.76527200064315),1 RUE D AQUITAINE,,Meyzieu,69282,1
tcl_sytral.tclarret.47390,47390,Meyzieu Plantées,67:R,true,false,false,28403,2025-10-17T05:05:48.317,2025-10-17T05:05:48.317,POINT (5.011646940678999 45.76052702051568),22 RUE DE MARSEILLE,,Meyzieu,69282,1
tcl_sytral.tclarret.47391,47391,Hippodrome Loup Pendu,ZI4:A,false,false,false,28404,2025-10-17T05:05:48.317,2025-10-17T05:05:48.317,POINT (4.884368033892 45.81517608496552),102 RUE DES MERCIERES,,Rillieux-la-Pape,69286,1
tcl_sytral.tclarret.47402,47402,Décines OL Vallée,85:R,true,false,false,28410,2025-10-17T05:05:48.317,2025-10-17T05:05:48.317,POINT (4.980779000001 45.768244070203814),8A AVENUE SIMONE VEIL,,Décines-Charpieu,69275,1
tcl_sytral.tclarret.47407,47407,Frédéric Mistral,"95:A,JD122:A,JD136:A,JD948:A",true,false,false,28415,2025-10-17T05:05:48.318,2025-10-17T05:05:48.318,POINT (4.995189945465999 45.78221208624127),31 RUE VICTOR HUGO,,Meyzieu,69282,1
